HEAD_L_RMS,HEAD_R_RMS,CHEEK_L_RMS,CHEEK_R_RMS,EAR_L_RMS,EAR_R_RMS,BROW_RMS,NOSE_RMS,Tag,Trial,Recording
170.2050370700533,64.19002316795935,29.561683589707005,28.952788408523777,26.359074506045488,31.602008961852857,44.37504189859567,110.04109881914668,ANGER,1,3d484ae8-29d8-4ea7-9594-ba9e81620c34
40.75298272457575,37.61850116337034,27.098751336358138,27.424648942713176,24.505648462267484,34.78523152137467,32.190794068418,34.89062122387264,ANGER,1,3d484ae8-29d8-4ea7-9594-ba9e81620c34
39.402393839561,40.97470442927917,36.290479874791174,35.142589395110875,32.46053545050311,37.30018371514619,36.83807249326388,55.80221460121785,ANGER,1,3d484ae8-29d8-4ea7-9594-ba9e81620c34
33.64115257022654,32.41441705774325,35.50368029922693,32.933137903756496,30.21799091752328,31.466580222762733,34.94355182605273,37.89273585294228,ANGER,1,3d484ae8-29d8-4ea7-9594-ba9e81620c34
31.199558445170645,32.97468992530061,33.72922964835055,36.51493781004909,32.02241234055971,32.39936985347564,35.44822290925996,73.52815583070085,CONTEMPT-L,2,3d484ae8-29d8-4ea7-9594-ba9e81620c34
15.389192016311272,14.1038678247262,15.638319668983504,18.762724458019893,13.879137118108343,14.09932309696467,12.696425229548774,48.25759534441975,CONTEMPT-L,2,3d484ae8-29d8-4ea7-9594-ba9e81620c34
17.507326891136128,17.58081775334937,17.342209380064595,22.53707553640207,17.209693101827437,17.139919612990305,16.879590219660376,62.053083819879035,CONTEMPT-L,2,3d484ae8-29d8-4ea7-9594-ba9e81620c34
14.014106346519167,13.23235742120187,14.980541040462557,19.144209209237196,13.927215204385572,13.97171772432671,12.135517323908665,19.584029895724896,CONTEMPT-L,2,3d484ae8-29d8-4ea7-9594-ba9e81620c34
56.26330055767831,64.68466578225274,90.60091379557348,128.38830972022785,48.95623608447037,63.53163486647991,61.73365178852873,171.44474851340848,SURPRISE,3,3d484ae8-29d8-4ea7-9594-ba9e81620c34
28.55698715878292,29.63928716675996,33.548959319730244,37.18818120581689,26.47017598217267,23.90665714646181,24.486679416734056,75.8918113555137,SURPRISE,3,3d484ae8-29d8-4ea7-9594-ba9e81620c34
44.96518682244071,31.70523521806217,38.54800941800057,38.70563393648677,35.10647778136011,37.89023420070401,37.29600155604426,85.91353290323399,SURPRISE,3,3d484ae8-29d8-4ea7-9594-ba9e81620c34
23.63585393173493,16.20250326067992,19.047503522204142,16.70155515600804,17.37847366935531,17.594664551088876,15.75987187874889,39.030278009785995,SURPRISE,3,3d484ae8-29d8-4ea7-9594-ba9e81620c34
583.9209340986125,277.9472465120792,75.79639749897441,75.1145634122368,69.20627764770138,547.3152761382744,80.97447910154806,1356.407333887116,DISGUST,4,3d484ae8-29d8-4ea7-9594-ba9e81620c34
